page,titre,adresse,nom,statut,fichier,candidats
1159,"Banquet de lutte lundi 23/12, le mouvement contre les retraites Macron continue !",/13/banquet-de-lutte-lundi-23-12-le-mouvement-contre-les-retraites-macron-continue/,cnt_so_retraites_dec_2019,introuvable,,
1164,"Communiqué de la fédération Education : Les retraites Macron, l'arnaque du siècle !",/13/communique-de-la-federation-education-les-retraites-macron-larnaque-du-siecle/,cnt_so_com_educ_retraites_11_12_2019.pdf,exact,sites/2/2019/12/cnt_so_com_educ_retraites_11_12_2019.pdf,sites/2/2019/12/cnt_so_com_educ_retraites_11_12_2019.pdf
1181,Avec la CNT-SO   DÉFENDRE NOS DROITS  ET NOTRE DIGNITÉ !  Chez ELIOR Services Propreté et Santé,/13/avec-la-cnt-so-defendre-nos-droits-et-notre-dignite-chez-elior-services-proprete-et-sante/,profession_de_foi_elections_elior_cse-paca,introuvable,,
1183,Mobilisation de soutien aux luttes des femmes de chambre !,/13/mobilisation-de-soutien-aux-luttes-des-femmes-de-chambre/,Tract_soustraitance_10sept19,exact,sites/2/2019/09/tract_soustraitance_10sept19.pdf,sites/2/2019/09/tract_soustraitance_10sept19.pdf
1186,Plus de 4 mois de grève au NH Collection Marseille : continuons la solidarité active et financière !,/13/plus-de-4-mois-de-greve-au-nh-collection-marseille-continuons-la-solidarite-active-et-financiere/,caisse_de_greve_nh-3.pdf,douteux,,2019/08/caisse_de_greve_nh-3.pdf | sites/2/2019/08/caisse_de_greve_nh-3.pdf
1189,Marlene Schiappa : les femmes de chambre et les travailleurs-euses de la propreté n’ont pas besoin de blabla mais d’avancées pour leurs droits !,/13/marlene-schiappa-les-femmes-de-chambre-et-les-travailleurs-euses-de-la-proprete-nont-pas-besoin-de-blabla-mais-davancees-pour-leurs-droits/,communique_schiappa_24_juin_19.pdf,exact,2019/06/communique_schiappa_24juin19.pdf,2019/06/communique_schiappa_24juin19.pdf | sites/2/2019/06/communique_schiappa_24_juin_19.pdf
1193,"Education : Le 17 et après, le bac et les exams... c'est sans nous !",/13/education-le-17-et-apres-le-bac-et-les-exams-cest-sans-nous/,cnt_so_greve_exams_2019.pdf,exact,sites/2/2019/06/cnt_so_greve_exams_2019.pdf,sites/2/2019/06/cnt_so_greve_exams_2019.pdf
1214,"Education : contre la loi Fonction publique, tous et toutes en grève le 9 mai 2019 !",/13/education-contre-la-loi-fonction-publique-tous-et-toutes-en-greve-le-9-mai-2019/,cnt_so_educ_greve_fonction_publique.pdf,exact,sites/2/2019/05/cnt_so_educ_greve_fonction_publique.pdf,sites/2/2019/05/cnt_so_educ_greve_fonction_publique.pdf
1214,"Education : contre la loi Fonction publique, tous et toutes en grève le 9 mai 2019 !",/13/education-contre-la-loi-fonction-publique-tous-et-toutes-en-greve-le-9-mai-2019/,appel_intersyndical_9_mai-1.pdf,exact,sites/2/2019/05/appel_intersyndical_9_mai-1.pdf,sites/2/2019/05/appel_intersyndical_9_mai-1.pdf
1215,"Contre la loi Fonction publique, tous et toutes en grève le 9 mai 2019 !",/13/contre-la-loi-fonction-publique-tous-et-toutes-en-greve-le-9-mai-2019/,cnt_so_loi_fonction_publique.pdf,exact,2019/05/cnt_so_loi_fonction_publique.pdf,2019/05/cnt_so_loi_fonction_publique.pdf | sites/2/2019/05/cnt_so_loi_fonction_publique.pdf
1230,Nettoyage : grille des salaires 2019,/13/nettoyage-grille-des-salaires-2019/,cnt_so_nettoyage_13_2019.pdf,exact,sites/2/2019/03/cnt_so_nettoyage_13_2019.pdf,sites/2/2019/03/cnt_so_nettoyage_13_2019.pdf
1231,Stage syndical et pédagogique 28-29 mars 2019 : pédagogies en lutte et émancipations,/13/stage-syndical-et-pedagogique-28-29-mars-2019-pedagogies-en-lutte-et-emancipations/,livret_stage_compresse.pdf,exact,sites/2/2019/03/livret_stage_compresse.pdf,sites/2/2019/03/livret_stage_compresse.pdf
1233,"Campagne : ""Egaux, égales, personne n’est illégal !""",/13/campagne-egaux-egales-personne-nest-illegal/,appel_3_avril_2019-region.pdf,exact,2019/03/appel_3_avril_2019-region.pdf,2019/03/appel_3_avril_2019-region.pdf | sites/2/2019/03/appel_3_avril_2019-region.pdf
1266,Education : les personnels dans l’action au côté des lycéen-ne-s !,/13/education-les-personnels-dans-laction-au-cote-des-lyceen-ne-s/,cnt_so_educ_decembre_2018.pdf,exact,sites/2/2018/12/cnt_so_educ_decembre_2018.pdf,sites/2/2018/12/cnt_so_educ_decembre_2018.pdf
1286,Rassemblements de soutien à la lutte MacDo et contre la violence patronale : mardi 16/10 et jeudi 18/10,/13/rassemblements-de-soutien-a-la-lutte-macdo-et-contre-la-violence-patronale-mardi-16-10-et-jeudi-18-10/,mac_do16octobre2018,exact,2018/10/mac_do16octobre2018.pdf,2018/10/mac_do16octobre2018.pdf | sites/2/2018/10/mac_do16octobre2018.pdf
1313,Maintien des activités pour la « crèche de l’œuf » à la Busserine (14°) !,/13/maintien-des-activites-pour-la-creche-de-loeuf-a-la-busserine-14/,communiquecrechebusserine_04juillet18,exact,sites/2/2018/07/communiquecrechebusserine_04juillet18.pdf,sites/2/2018/07/communiquecrechebusserine_04juillet18.pdf
1329,"Le 1er mai, remettons l’imagination au pouvoir ! Tous et toutes dans la rue !",/13/le-1er-mai-remettons-limagination-au-pouvoir-tous-et-toutes-dans-la-rue/,cnt_so_1er_mai_2018,exact,2018/04/cnt_so_1er_mai_2018.pdf,2018/04/cnt_so_1er_mai_2018.pdf | sites/2/2018/04/cnt_so_1er_mai_2018.pdf
1338,Public – Privé : le rapport de force c'est maintenant !,/13/public-prive-le-rapport-de-force-cest-maintenant/,cnt_so_public_prive_avril2018,exact,2018/04/cnt_so_public_prive_avril2018.pdf,2018/04/cnt_so_public_prive_avril2018.pdf | sites/2/2018/04/cnt_so_public_prive_avril2018.pdf | sites/3/2018/04/cnt_so_public_prive_avril2018.pdf
1346,"Jeunesse non scolarisée, Jeunesse en danger !",/13/jeunesse-non-scolarisee-jeunesse-en-danger/,Courrier_dasen_recteur_21_mars_2018,introuvable,,
1347,Bulletin de la CNT-Solidarité Ouvrière - N°21 Printemps 2018,/13/bulletin-de-la-cnt-solidarite-ouvriere-n21-printemps-2018/,cnt_so_bulletin_21,exact,sites/2/2018/03/cnt_so_bulletin_21.pdf,sites/2/2018/03/cnt_so_bulletin_21.pdf
1348,"« Réformes » Blanquer, une éducation au service du MEDEF et contre les classes populaires !",/13/reformes-blanquer-une-education-au-service-du-medef-et-contre-les-classes-populaires/,cnt_so_educ_reformes_lycee_2018,exact,sites/2/2018/03/cnt_so_educ_reformes_lycee_2018.pdf,sites/2/2018/03/cnt_so_educ_reformes_lycee_2018.pdf
1358,"Nettoyage : Stop au mépris et à l’exploitation ! En 2018, on s'organise avec la CNT-SO !",/13/nettoyage-stop-au-mepris-et-a-lexploitation-en-2018-on-sorganise-avec-la-cnt-so/,cnt_so_13_nettoyage,introuvable,,
1364,L'école Macron/Blanquer ne sera jamais la notre : en grève le 06/02/18 !,/13/lecole-macron-blanquer-ne-sera-jamais-la-notre-en-greve-le-06-02-18/,cnt_so_reforme_lycee_greve_06_02_18,exact,2018/02/cnt_so_reforme_lycee_greve_06_02_18.pdf,2018/02/cnt_so_reforme_lycee_greve_06_02_18.pdf | sites/2/2018/02/cnt_so_reforme_lycee_greve_06_02_18.pdf
1374,"Dans les services à la personne, en 2018, on s’organise !",/13/dans-les-services-a-la-personne-en-2018-on-sorganise/,cnt_so_tract_sap_2018,exact,sites/2/2018/01/cnt_so_tract_sap_2018.pdf,sites/2/2018/01/cnt_so_tract_sap_2018.pdf
1375,"De Clichy à Marseille les ""invisibles"" de la sous-traitance hôtelière se font entendre !",/13/de-clichy-a-marseille-les-invisibles-de-la-sous-traitance-hoteliere-se-font-entendre/,tract_holidayinn_20janv18,exact,2018/01/tract_holidayinn_20janv18.pdf,2018/01/tract_holidayinn_20janv18.pdf | sites/2/2018/01/tract_holidayinn_20janv18.pdf
1377,Présentation de la CNT Solidarité Ouvrière,/13/presentation-de-la-cnt-solidarite-ouvriere/,cnt_so_tract_presentation,introuvable,,
1378,Bâtiment & Travaux Publics : en 2018 on s’organise !,/13/batiment-travaux-publics-en-2018-on-sorganise/,tract_btp_13,exact,sites/2/2018/01/tract_btp_13.pdf,sites/2/2018/01/tract_btp_13.pdf
1382,Convention HCR (Hôtellerie - restauration) : grilles des salaires 2017-2018 et qualifications,/13/convention-hcr-hotellerie-restauration-grilles-des-salaires-2017-2018-et-qualifications/,cnt_so13_convention_hcr_2017_2018,introuvable,,
1382,Convention HCR (Hôtellerie - restauration) : grilles des salaires 2017-2018 et qualifications,/13/convention-hcr-hotellerie-restauration-grilles-des-salaires-2017-2018-et-qualifications/,grille_classif,introuvable,,
1390,"Double mobilisation contre la sous-traitance hôtelière, vendredi 01/12",/13/double-mobilisation-contre-la-sous-traitance-hoteliere-vendredi-01-12/,mobilisationsoustraitance_01dec17,introuvable,,
1394,Semaine d'action contre la suppressions de contrats CUI dans l'Education du 13 au 17 novembre,/13/semaine-daction-contre-la-suppressions-de-contrats-cui-dans-leducation-du-13-au-17-novembre/,pe_tition_aade,introuvable,,
1394,Semaine d'action contre la suppressions de contrats CUI dans l'Education du 13 au 17 novembre,/13/semaine-daction-contre-la-suppressions-de-contrats-cui-dans-leducation-du-13-au-17-novembre/,tract_cui_unitaire_2017,exact,2017/11/tract_cui_unitaire_2017.pdf,2017/11/tract_cui_unitaire_2017.pdf
1394,Semaine d'action contre la suppressions de contrats CUI dans l'Education du 13 au 17 novembre,/13/semaine-daction-contre-la-suppressions-de-contrats-cui-dans-leducation-du-13-au-17-novembre/,motion_aade_conseil_d_e_cole_unitaire,introuvable,,
1394,Semaine d'action contre la suppressions de contrats CUI dans l'Education du 13 au 17 novembre,/13/semaine-daction-contre-la-suppressions-de-contrats-cui-dans-leducation-du-13-au-17-novembre/,courrier_aux_parents,exact,2017/11/courrier_aux_parents.odt,2017/11/courrier_aux_parents.odt | sites/2/2017/11/courrier_aux_parents.odt
1400,Suppression des postes d'Aide Administrative à la Direction d’École (AADE) : appel de l'intersyndicale 13,/13/suppression-des-postes-daide-administrative-a-la-direction-decole-aade-appel-de-lintersyndicale-13/,affichette_aade,exact,sites/2/2017/10/affichette_aade.pdf,sites/2/2017/10/affichette_aade.pdf
1400,Suppression des postes d'Aide Administrative à la Direction d’École (AADE) : appel de l'intersyndicale 13,/13/suppression-des-postes-daide-administrative-a-la-direction-decole-aade-appel-de-lintersyndicale-13/,Affiche_pour_manif_10.10.17,exact,sites/2/2017/10/affiche_pour_manif_10.10.17.pdf,sites/2/2017/10/affiche_pour_manif_10.10.17.pdf
1405,NON A LA CASSE DE NOS DROITS ! 12 SEPTEMBRE 2017 Public – privé : tous et toutes en grève et dans la rue !,/13/non-a-la-casse-de-nos-droits-12-septembre-2017-public-prive-tous-et-toutes-en-greve-et-dans-la-rue/,cnt_so_12.09.2017,exact,sites/2/2017/09/cnt_so_12.09.2017.pdf,sites/2/2017/09/cnt_so_12.09.2017.pdf
1420,Bulletin de la CNT-Solidarité Ouvrière - N°20 Été 2017 - Numéro spécial réformes Macron,/13/bulletin-de-la-cnt-solidarite-ouvriere-n20-ete-2017-numero-special-reformes-macron/,cnt_so_bulletin_20,exact,sites/2/2017/06/cnt_so_bulletin_20.pdf,sites/2/2017/06/cnt_so_bulletin_20.pdf
1429,"Marseille - Salarié.e de la ""zone touristique"" (Terrasses du Port, Docks...), pour défendre tes droits et en gagner de nouveaux, viens voir le syndicat !",/13/marseille-salarie-e-de-la-zone-touristique-terrasses-du-port-docks-pour-defendre-tes-droits-et-en-gagner-de-nouveaux-viens-voir-le-syndicat/,CNT_SO_zone_touristique_2016,introuvable,,
